"Unit","Time","PC1","PC2"
1,10,0.71,1.23
1,15,1.07,2.04
1,20,1.49,2.82
1,25,1.86,3.87
1,30,2.36,5.15
1,35,2.96,6.87
1,40,3.46,9.46
2,10,0.73,1.01
2,15,1.03,1.65
2,20,1.41,2.41
2,25,1.71,3.21
2,30,2.3,3.96
2,35,2.88,5.14
2,40,3.51,6.53
3,10,0.63,0.66
3,15,0.98,1.34
3,20,1.54,2.03
3,25,1.91,2.59
3,30,2.4,3.55
3,35,2.99,4.71
3,40,3.67,6.16
4,10,0.58,1.25
4,15,0.88,2.16
4,20,1.34,3.03
4,25,1.92,3.74
4,30,2.36,4.8
4,35,2.96,6.09
4,40,3.68,7.83
5,10,0.6,0.96
5,15,1.02,1.63
5,20,1.44,2.28
5,25,1.89,3.18
5,30,2.45,4.12
5,35,3.05,5.31
5,40,3.73,6.8
6,10,0.77,1.19
6,15,1.2,1.77
6,20,1.64,2.58
6,25,2.1,3.32
6,30,2.62,4.46
6,35,3.17,5.58
6,40,3.8,7.05
7,10,0.75,1.05
7,15,1.23,1.71
7,20,1.67,2.57
7,25,2.17,3.29
7,30,2.71,4.27
7,35,3.46,5.51
7,40,4.19,7.16
8,10,0.8,1.04
8,15,1.28,1.77
8,20,1.8,2.58
8,25,2.35,3.27
8,30,2.96,4.38
8,35,3.63,5.64
8,40,4.45,7.47
9,10,0.91,1.14
9,15,1.32,1.94
9,20,1.87,2.78
9,25,2.44,3.71
9,30,3.06,4.66
9,35,3.74,6.87
9,40,4.6,9.46
10,10,0.78,1.14
10,15,1.2,1.94
10,20,1.81,2.78
10,25,2.27,3.71
10,30,3,4.66
10,35,3.84,6.1
10,40,4.73,8.05
11,10,0.89,1.28
11,15,1.37,1.8
11,20,1.99,2.84
11,25,2.51,3.61
11,30,3.25,4.83
11,35,4.09,6.36
11,40,4.78,8.53
12,10,0.81,1.02
12,15,1.35,1.53
12,20,1.91,2.21
12,25,2.6,2.89
12,30,3.28,3.92
12,35,4.02,4.95
12,40,5.11,6.32
13,10,0.92,1.18
13,15,1.41,1.96
13,20,2.07,2.75
13,25,2.7,3.85
13,30,3.48,5.03
13,35,4.44,6.86
13,40,5.65,9.53
14,10,0.95,1.46
14,15,1.63,2.16
14,20,2.28,3.12
14,25,3.12,4.34
14,30,3.89,5.5
14,35,5.06,7.33
14,40,6.11,9.93
15,10,1.32,1.19
15,15,1.91,2
15,20,2.37,3.04
15,25,3.24,3.9
15,30,3.99,5.39
15,35,5,7.34
15,40,6.58,10.69
